"","logFC","logCPM","LR","PValue","FDR","gene","logFDR","Significant"
"ENSMUSG00000025270",-0.624569937211308,2.75125756024427,0.267007738513257,0.605346106312838,0.999703132653124,"Alas2",0.217996246697605,FALSE
"ENSMUSG00000016481",0.117926872294632,5.00590194832386,0.266983135609391,0.605362727697237,0.999703132653124,"Cr1l",0.217984322153365,FALSE
"ENSMUSG00000041815",0.0902714371220594,6.48219456531255,0.266896884819183,0.60542100521254,0.999703132653124,"Poldip3",0.217942515177194,FALSE
"ENSMUSG00000028441",0.710572892554526,4.09747916568261,0.266882596155378,0.60543066085939,0.999703132653124,"Spmip6",0.217935588822359,FALSE
"ENSMUSG00000001525",0.0939190448895781,6.76391584531306,0.266656378367069,0.605583572481164,0.999703132653124,"Tubb5",0.217825914349376,FALSE
"ENSMUSG00000035112",0.270156721253163,1.00970182458081,0.266563827020565,0.605646156127073,0.999703132653124,"Wnk4",0.217781034783662,FALSE
"ENSMUSG00000016757",0.135975927333221,4.26292782511504,0.266494587823817,0.605692984988846,0.999703132653124,"Ttll12",0.217747456216634,FALSE
"ENSMUSG00000029122",-0.260392984652693,3.74445692778979,0.266370444680211,0.605776966581977,0.999703132653124,"Evc",0.217687243839943,FALSE
"ENSMUSG00000072955",-0.823870353719093,-1.95271311785933,0.266289475198919,0.605831754979298,0.999703132653124,"Tmsb15l",0.217647966640594,FALSE
"ENSMUSG00000047710",0.145018840451532,4.34116271453815,0.26619787674101,0.605893748242863,0.999703132653124,"Champ1",0.217603528635067,FALSE
"ENSMUSG00000094594",-0.360654542565569,-1.40756091722108,0.266181187211703,0.605905045066419,0.999703132653124,"Tpd52-ps",0.217595431336801,FALSE
"ENSMUSG00000013415",-0.751327176578146,-1.88997370337574,0.266169569684036,0.605912909013677,0.999703132653124,"Igf2bp1",0.217589794732906,FALSE
"ENSMUSG00000091722",0.29511108879998,0.147031807723277,0.265983577468418,0.606038837426109,0.999703132653124,"Siah3",0.217499543590496,FALSE
"ENSMUSG00000034723",0.0930979260613639,5.86842121646475,0.265885010191383,0.606105596262162,0.999703132653124,"Tmx4",0.217451706066617,FALSE
"ENSMUSG00000042606",0.209371867460499,2.98863919488056,0.265789016402107,0.60617062715324,0.999703132653124,"Hirip3",0.217405111805953,FALSE
"ENSMUSG00000069308",0.404506018121398,-0.986939208779537,0.265734586371897,0.60620750732377,0.999703132653124,"H2bc22",0.217378689596409,FALSE
"ENSMUSG00000044573",0.105439640807534,4.89245033774736,0.26564418751352,0.606268769467932,0.999703132653124,"Acp1",0.217334802863628,FALSE
"ENSMUSG00000031156",0.0925341913318971,6.72839369179798,0.26560364116792,0.606296251490866,0.999703132653124,"Slc35a2",0.217315116841506,FALSE
"ENSMUSG00000106943",0.250774429194743,1.67033855818147,0.265134135522259,0.60661467257099,0.999703132653124,"Dancr",0.217087089344262,FALSE
"ENSMUSG00000018363",-0.152087461254481,4.61133880655169,0.265070157531918,0.606658090373512,0.999703132653124,"Smurf2",0.217056006289181,FALSE
"ENSMUSG00000047246",-0.167834438367896,4.52578203146717,0.264981954748452,0.606717958875907,0.999703132653124,"H2bc6",0.217013149731616,FALSE
"ENSMUSG00000038738",-0.392290134369092,5.86335295526551,0.264967480774601,0.606727784431145,0.999703132653124,"Shank1",0.217006116562732,FALSE
"ENSMUSG00000042258",0.699975033563316,-0.298280281918452,0.264759936364321,0.606868711839585,0.999703132653124,"Isl1",0.216905252731472,FALSE
"ENSMUSG00000094870",-0.106477195230311,4.96854993979599,0.264745924767216,0.606878228552105,0.999703132653124,"Zfp131",0.216898442323806,FALSE
"ENSMUSG00000035208",-0.611253032189223,-1.24096285604442,0.264728578013656,0.606890010952663,0.999703132653124,"Slfn8",0.216890010678654,FALSE
"ENSMUSG00000093447",-0.73930922855581,-2.31984838562935,0.264627931781204,0.606958382326477,0.999703132653124,"Gm5139",0.216841086429854,FALSE
"ENSMUSG00000027575",-0.104371414932696,5.50607256215247,0.264554883734489,0.607008015896253,0.999703132653124,"Arfgap1",0.216805573773961,FALSE
"ENSMUSG00000032571",0.126263032924528,4.46229120996139,0.264522991634409,0.607029688170178,0.999703132653124,"Pik3r4",0.216790068244034,FALSE
"ENSMUSG00000031706",-0.211007057233959,2.72084716210355,0.264520085879,0.607031662858138,0.999703132653124,"Rfx1",0.216788655471798,FALSE
"ENSMUSG00000050043",-0.105867108773331,6.57379156362114,0.264517960921715,0.607033106941415,0.999703132653124,"Tmx2",0.216787622318684,FALSE
"ENSMUSG00000016664",0.117434881928478,5.51734941367278,0.264409183613179,0.607107039870501,0.999703132653124,"Pacsin2",0.216734731121145,FALSE
"ENSMUSG00000024301",-0.244380969675881,0.920301945759038,0.264388649922273,0.607120998209936,0.999703132653124,"Kifc5b",0.216724746127217,FALSE
"ENSMUSG00000003437",0.0982839594454002,5.93763766475177,0.264381686654499,0.607125731837753,0.999703132653124,"Paf1",0.216721360014018,FALSE
"ENSMUSG00000102649",-0.352046188219576,-0.329763884699574,0.264297880270795,0.607182709581652,0.999703132653124,"Gm38021",0.216680604108943,FALSE
"ENSMUSG00000001517",-0.322182006927846,-0.491724092222026,0.264271643074455,0.607200549905058,0.999703132653124,"Foxm1",0.216667843797978,FALSE
"ENSMUSG00000034675",0.21531072073032,3.48643589786618,0.26401395467546,0.607375828014766,0.999703132653124,"Dbn1",0.216542495869668,FALSE
"ENSMUSG00000112922",0.268449638561633,0.312400952628186,0.264009960016269,0.607378546009006,0.999703132653124,"Gm47572",0.216540552415212,FALSE
"ENSMUSG00000055560",0.303420794077994,-0.630245953081753,0.263809558703752,0.607514933843954,0.999703132653124,"Zfp459",0.216443041834494,FALSE
"ENSMUSG00000021609",0.775421711838186,-0.398534624603295,0.263793379023811,0.607525948162344,0.999703132653124,"Slc6a3",0.216435168094986,FALSE
"ENSMUSG00000052142",0.48214951507148,0.111063357415063,0.263792942137684,0.607526245578528,0.999703132653124,"Rasal3",0.216434955484847,FALSE
"ENSMUSG00000031758",-0.204037302946459,2.61772440559368,0.26374273525685,0.607560426670174,0.999703132653124,"Cdyl2",0.216410521574361,FALSE
"ENSMUSG00000029475",0.169180606482315,3.49446869081161,0.263726939028569,0.607571181670426,0.999703132653124,"Kdm2b",0.216402833786091,FALSE
"ENSMUSG00000044149",0.181031048384457,3.18648882516538,0.263706079991678,0.60758538435187,0.999703132653124,"Nkrf",0.216392681767245,FALSE
"ENSMUSG00000039050",-0.0884835457516526,6.15149818198085,0.263609198658557,0.607651359058188,0.999703132653124,"Osbpl2",0.216345526427214,FALSE
"ENSMUSG00000015484",-0.239767395999786,3.25392392050862,0.26351052060851,0.607718573051259,0.999703132653124,"Fam163a",0.216297490573181,FALSE
"ENSMUSG00000028033",0.604431403166149,-1.16043139506418,0.263460043274703,0.607752961548004,0.999703132653124,"Kcnq5",0.216272916185454,FALSE
"ENSMUSG00000023827",0.138753423283044,8.30229686361423,0.263239165609225,0.607903486988064,0.999703132653124,"Agpat4",0.216165365456929,FALSE
"ENSMUSG00000079434",0.710948992753256,1.29495978055695,0.263196438388922,0.607932614276574,0.999703132653124,"Neu2",0.216144557026151,FALSE
"ENSMUSG00000102950",0.510819658837065,-0.712551745912169,0.263194520925148,0.607933921488039,0.999703132653124,"Gm37018",0.21614362318233,FALSE
"ENSMUSG00000035632",-0.152082358278612,4.28097225522035,0.263183876648807,0.607941178224769,0.999703132653124,"Cnot3",0.216138439161834,FALSE
"ENSMUSG00000048924",0.236894353583886,1.01299616803051,0.263133022294735,0.607975850745639,0.999703132653124,"Ccdc125",0.216113670885491,FALSE
"ENSMUSG00000067158",0.39409187791247,0.841059558910545,0.263027637955599,0.608047715308458,0.999703132653124,"Col4a4",0.21606233901334,FALSE
"ENSMUSG00000085315",0.410176820462951,1.04577355832662,0.262985284914417,0.608076602168032,0.999703132653124,"A430018G15Rik",0.216041707234936,FALSE
"ENSMUSG00000117042",0.482959537933011,-0.341101051248476,0.262870533760456,0.60815488287088,0.999703132653124,"2700054A10Rik",0.215985801960732,FALSE
"ENSMUSG00000057667",-0.192692799168703,2.94219928520787,0.26286447775624,0.608159014742592,0.999703132653124,"Bloc1s3",0.215982851325887,FALSE
"ENSMUSG00000039356",-0.129632087164444,4.21086791533493,0.262828310315698,0.608183692202861,0.999703132653124,"Exosc2",0.215965229179164,FALSE
"ENSMUSG00000030058",0.0959301727849031,6.46034074140824,0.262821189456549,0.608188551099517,0.999703132653124,"Copg1",0.21596175953076,FALSE
"ENSMUSG00000055137",0.157827702278238,4.10184474309709,0.262788925656289,0.608210567247408,0.999703132653124,"Sugct",0.21594603855333,FALSE
"ENSMUSG00000064952",-0.669708939228661,-2.35891205677937,0.262529413896941,0.608387714787513,0.999703132653124,"Gm24920",0.215819564267068,FALSE
"ENSMUSG00000073877",-0.669708939228661,-2.35891205677937,0.262529413896941,0.608387714787513,0.999703132653124,"Ccl27al",0.215819564267068,FALSE
"ENSMUSG00000094282",0.756157478976252,1.42541662931278,0.262470184775127,0.608428161177499,0.999703132653124,"Cfap73",0.215790692776586,FALSE
"ENSMUSG00000024158",0.0929601629180386,5.96125465049574,0.262438417518289,0.608449856779526,0.999703132653124,"Hagh",0.215775206786859,FALSE
"ENSMUSG00000017002",-0.331100114598224,0.49931771698655,0.262112999740855,0.608672197948349,0.999703132653124,"Slpi",0.215616534871551,FALSE
"ENSMUSG00000115543",-0.288120383151102,0.974126936887063,0.261966583710338,0.608772293288288,0.999703132653124,"B230362B09Rik",0.21554512158871,FALSE
"ENSMUSG00000117814",0.245172313839774,1.86254418009554,0.261953832628632,0.608781012063777,0.999703132653124,"Gm50431",0.215538901711408,FALSE
"ENSMUSG00000106258",-0.269067195990688,0.210014646289261,0.261705948944134,0.608950560103339,0.999703132653124,"Rpl7a-ps7",0.215417965734781,FALSE
"ENSMUSG00000025873",-0.0900152772936691,6.07832903619335,0.261622984261002,0.609007329102026,0.999703132653124,"Faf2",0.215377480816362,FALSE
"ENSMUSG00000019803",-0.20231816120583,3.41603893125738,0.261509116081987,0.609085262463888,0.999703132653124,"Nr2e1",0.215321908638527,FALSE
"ENSMUSG00000015943",0.161319944111775,4.49146269339745,0.261414311252952,0.60915016486826,0.999703132653124,"Bola1",0.215275633911204,FALSE
"ENSMUSG00000097383",-0.254220976547978,1.708098275368,0.26133976856157,0.60920120644895,0.999703132653124,"1500026H17Rik",0.215239245267704,FALSE
"ENSMUSG00000051008",-0.639944487809083,-1.48012935679383,0.261291956303669,0.609233949746499,0.999703132653124,"4930412M03Rik",0.215215903470029,FALSE
"ENSMUSG00000078974",-0.210685163233531,2.16425944516151,0.261237505534802,0.609271243901737,0.999703132653124,"Sec61g",0.215189319018987,FALSE
"ENSMUSG00000042632",0.152899043161495,3.96352154966927,0.261182711960989,0.609308777798018,0.999703132653124,"Pla2g6",0.2151625653159,FALSE
"ENSMUSG00000027420",0.241490163701115,1.50930235531385,0.261149409574272,0.609331592540282,0.999703132653124,"Bfsp1",0.215146304051439,FALSE
"ENSMUSG00000023274",-0.491739707638152,-0.966225028284142,0.260939156103657,0.609475674998967,0.999703132653124,"Cd4",0.215043622981668,FALSE
"ENSMUSG00000010751",0.247530948309122,1.75142653960358,0.260920959257502,0.609488148371463,0.999703132653124,"Tnfrsf22",0.215034734913389,FALSE
"ENSMUSG00000097820",0.283801306388581,1.17020624184508,0.260878438535662,0.609517297142987,0.999703132653124,"E530011L22Rik",0.215013965275853,FALSE
"ENSMUSG00000028029",0.112634053129015,5.10982770883849,0.260871234564219,0.609522235900489,0.999703132653124,"Aimp1",0.21501044631675,FALSE
"ENSMUSG00000064345",0.152745713117544,12.213228775981,0.260849480811886,0.609537149933363,0.999703132653124,"mt-Nd2",0.214999819956368,FALSE
"ENSMUSG00000107195",0.335647976976338,0.680577326166686,0.260837317405181,0.60954548931683,0.999703132653124,"4930589O11Rik",0.214993878196382,FALSE
"ENSMUSG00000106047",-0.583035427745846,-0.947969405401548,0.260784606106597,0.609581631674627,0.999703132653124,"Gm42942",0.214968127925901,FALSE
"ENSMUSG00000097204",-0.245915215551697,1.18762771184904,0.260733859324362,0.609616431381106,0.999703132653124,"Gm17690",0.214943335694092,FALSE
"ENSMUSG00000028177",0.333834485476639,-1.0431340875369,0.260658120074045,0.609668377664339,0.999703132653124,"1810013D15Rik",0.214906330420165,FALSE
"ENSMUSG00000084798",-0.70887464555783,-2.33406574833004,0.260623214239682,0.609692321272607,0.999703132653124,"4930533B01Rik",0.214889274635182,FALSE
"ENSMUSG00000029054",0.295817688074396,-0.123085003765179,0.260532348294415,0.609754660121618,0.999703132653124,"Gabrd",0.214844871854953,FALSE
"ENSMUSG00000025172",0.555392145964957,-1.72252883553552,0.260445586319179,0.609814196220055,0.999703132653124,"Ankrd2",0.214802469658618,FALSE
"ENSMUSG00000072592",-0.381070855415307,-1.12721379381079,0.26035191982404,0.609878484235127,0.999703132653124,"Gm10373",0.21475668774868,FALSE
"ENSMUSG00000017493",0.243162021318931,2.80194540387845,0.260348153659459,0.609881069447625,0.999703132653124,"Igfbp4",0.214754846822706,FALSE
"ENSMUSG00000069439",-0.608361452377193,-2.1795267896917,0.260263181317546,0.609939403370899,0.999703132653124,"Gm8444",0.214713309397209,FALSE
"ENSMUSG00000022221",0.574281517346576,-0.90258560400652,0.26025253220835,0.60994671488204,0.999703132653124,"Ripk3",0.214708103421182,FALSE
"ENSMUSG00000071708",0.207011422016236,2.50977062292292,0.260230252310815,0.609962012519629,0.999703132653124,"Sms",0.214697211328287,FALSE
"ENSMUSG00000097523",0.526414731638597,-1.309313123096,0.26012742879557,0.610032623039834,0.999703132653124,"1700022N22Rik",0.214646939370641,FALSE
"ENSMUSG00000063410",-0.15278089485775,4.26755528714525,0.260083596791815,0.61006272851027,0.999703132653124,"Stk24",0.21462550721016,FALSE
"ENSMUSG00000032666",0.111977556282938,4.8575167672499,0.260080456071702,0.610064885797819,0.999703132653124,"1700025G04Rik",0.214623971472312,FALSE
"ENSMUSG00000003814",0.119207722610396,7.50576414584274,0.260038499745862,0.610093706195855,0.999703132653124,"Calr",0.214603455221527,FALSE
"ENSMUSG00000040078",0.25667873018278,0.631559076708666,0.260009226374726,0.610113816226732,0.999703132653124,"Ptges3-ps",0.214589140155801,FALSE
"ENSMUSG00000083327",0.231923826714985,1.45219799848153,0.259868547615453,0.610210478712733,0.999703132653124,"Vcp-rs",0.21452033879777,FALSE
"ENSMUSG00000021038",-0.113611197017298,4.93144698886061,0.25984807398401,0.610224549199635,0.999703132653124,"Vipas39",0.214510324770509,FALSE
"ENSMUSG00000021831",-0.146462516108394,4.48349536514717,0.259600895936646,0.610394477250314,0.999703132653124,"Ero1a",0.214389404461047,FALSE
"ENSMUSG00000033854",0.246509039507222,1.98853841674694,0.259566097694152,0.610418408258589,0.999703132653124,"Kcnk10",0.214372377929029,FALSE
"ENSMUSG00000042406",0.115272332345468,5.16406539014657,0.259565922792573,0.610418528544799,0.999703132653124,"Atf4",0.214372292348988,FALSE
"ENSMUSG00000037363",0.147604111080991,3.90048693143539,0.259565792199451,0.610418618358497,0.999703132653124,"Letm2",0.214372228449239,FALSE
"ENSMUSG00000104159",-0.413368865165789,-0.802201656885488,0.259547075655968,0.610431490708819,0.999703132653124,"Gm38099",0.214363070255825,FALSE
"ENSMUSG00000068874",0.142909618951254,4.49554987857931,0.259534123028433,0.610440399253578,0.999703132653124,"Selenbp1",0.214356732274154,FALSE
"ENSMUSG00000033845",0.103280425187852,5.01541916167322,0.259413833700805,0.610523145100006,0.999703132653124,"Mrpl15",0.214297867183996,FALSE
"ENSMUSG00000110205",0.263837525014983,2.97064443725238,0.259404881626018,0.610529304110188,0.999703132653124,"Gm33594",0.214293486005877,FALSE
"ENSMUSG00000040018",-0.223851942441695,2.44726040751781,0.25940064061676,0.610532221963099,0.999703132653124,"Cox15",0.214291410422639,FALSE
"ENSMUSG00000033439",-0.220931819142765,3.54372312212473,0.259388236432851,0.610540756326776,0.999703132653124,"Trmt13",0.214285339651903,FALSE
"ENSMUSG00000092014",0.394459974139056,-1.63564548255826,0.259368065474212,0.610554634958763,0.999703132653124,"Gm4468",0.21427546751033,FALSE
"ENSMUSG00000021278",0.379272749827278,-0.258995578338124,0.259192583197775,0.610675404257684,0.999703132653124,"Amn",0.214189571424267,FALSE
"ENSMUSG00000027744",0.749859553967718,3.13514886319283,0.259142064338262,0.610710181569773,0.999703132653124,"Stoml3",0.214164839521557,FALSE
"ENSMUSG00000090459",-0.39911824189234,-1.22049132799536,0.259124265575022,0.610722435300723,0.999703132653124,"Gm17210",0.214156125610268,FALSE
"ENSMUSG00000062115",-0.177232356309086,3.47880176484508,0.259109045896729,0.61073291385595,0.999703132653124,"Rai1",0.214148674206143,FALSE
"ENSMUSG00000043833",-0.302294415196849,0.169162972176687,0.259039888423913,0.610780532778995,0.999703132653124,"2900005J15Rik",0.214114813530143,FALSE
"ENSMUSG00000027365",-0.122262625890751,5.3566489676872,0.259014479200995,0.610798030510135,0.999703132653124,"Trpm7",0.214102371975733,FALSE
"ENSMUSG00000038816",0.119687213878764,5.95695747977085,0.258849011776442,0.610912003939527,0.999703132653124,"Ctnnal1",0.214021341239771,FALSE
"ENSMUSG00000083649",-0.666140359723719,-1.67957308127823,0.258795972746864,0.610948546757823,0.999703132653124,"Rasl2-9",0.213995363898355,FALSE
"ENSMUSG00000036390",0.186799370443273,3.66138456091378,0.258694343407901,0.611018580487601,0.999703132653124,"Gadd45a",0.213945583078979,FALSE
"ENSMUSG00000029725",0.12602957270658,4.4027006479403,0.258609912741475,0.611076775620036,0.999703132653124,"Ppp1r35",0.213904221617644,FALSE
"ENSMUSG00000099465",-0.642743756626076,-2.00100790546146,0.258559358062111,0.611111626931744,0.999703132653124,"Gm3830",0.213879453370238,FALSE
"ENSMUSG00000056687",-0.283289158527994,1.45901515483867,0.258520009888459,0.611138755686509,0.999703132653124,"Gm11696",0.213860174393254,FALSE
"ENSMUSG00000055632",0.340095667287964,-0.379300966246968,0.258507505675194,0.611147377310105,0.999703132653124,"Hmcn2",0.213854047638721,FALSE
"ENSMUSG00000048332",-0.170799940186645,5.53966118958946,0.258484074996877,0.611163533410469,0.999703132653124,"Lhfpl6",0.213842566917775,FALSE
"ENSMUSG00000093044",-0.704414988137017,-2.08328094146692,0.258466622370628,0.611175568077542,0.999703132653124,"Snord8",0.213834015134567,FALSE
"ENSMUSG00000038496",-0.57761656994642,-1.4573054327823,0.258456711876064,0.611182402205169,0.999703132653124,"Slc19a3",0.213829158907522,FALSE
"ENSMUSG00000022432",-0.409495141435767,-0.880376538963653,0.258324545693736,0.611273557777872,0.999703132653124,"Smc1b",0.213764390337383,FALSE
"ENSMUSG00000018377",-0.0877835976512245,6.62998497527193,0.258314421448704,0.611280541722195,0.999703132653124,"Vezf1",0.213759428449017,FALSE
"ENSMUSG00000038286",0.208395041213195,5.14322158253499,0.258253428887161,0.611322619481902,0.999703132653124,"Bphl",0.213729534629928,FALSE
"ENSMUSG00000038563",-0.165994414658163,3.583258092405,0.258241978046704,0.61133051992445,0.999703132653124,"Efl1",0.213723922051033,FALSE
"ENSMUSG00000027865",0.140827638176171,4.34860506250124,0.258194671121123,0.611363161406175,0.999703132653124,"Gdap2",0.213700733879516,FALSE
"ENSMUSG00000055937",-0.28254447337892,0.313038342547708,0.258135802266104,0.611403785801138,0.999703132653124,"Krt28",0.21367187645806,FALSE
"ENSMUSG00000079509",0.130529952540714,4.26164589237155,0.258080884600467,0.611441688802296,0.999703132653124,"Zfx",0.213644953899817,FALSE
"ENSMUSG00000039159",-0.12268674828657,7.28225110791959,0.258012475993947,0.611488910059788,0.999703132653124,"Ube2h",0.213611414904903,FALSE
"ENSMUSG00000033623",0.140484745600007,4.10457707839827,0.257996135780828,0.611500190586604,0.999703132653124,"Pcgf3",0.213603403270872,FALSE
"ENSMUSG00000102691",-0.266463092464297,1.37021011678765,0.257990799772007,0.611503874417449,0.999703132653124,"Gm37780",0.213600786979636,FALSE
"ENSMUSG00000081413",-0.724036806250397,-1.96307882565111,0.257898237722287,0.611567784288119,0.999703132653124,"Uqcrh-ps2",0.213555400098175,FALSE
"ENSMUSG00000080840",-0.509221571054065,-1.91230612382667,0.257781997292336,0.611648063437368,0.999703132653124,"Gm11349",0.213498394964297,FALSE
"ENSMUSG00000108574",-0.542883124305607,-1.66841417665605,0.25765037232325,0.611738995103148,0.999703132653124,"Gm44981",0.213433834659403,FALSE
